datetime,open,high,low,close,volume
2022-05-30 20:45:00,1855.56000,1855.67000,1854.08000,1854.39000,303
2022-05-30 21:00:00,1854.45000,1855.83000,1854.09000,1854.92000,356
2022-05-30 21:15:00,1854.92000,1856.55000,1853.55000,1855.10000,515
2022-05-31 01:00:00,1856.03000,1856.46000,1855.51000,1856.42000,126
2022-05-31 01:15:00,1856.53000,1856.83000,1855.59000,1856.05000,176
2022-05-31 01:30:00,1856.05000,1856.05000,1854.92000,1855.18000,220
2022-05-31 01:45:00,1855.17000,1855.38000,1854.15000,1854.34000,328
2022-05-31 02:00:00,1854.11000,1855.01000,1853.58000,1853.74000,423
2022-05-31 02:15:00,1853.74000,1853.74000,1852.06000,1852.87000,396
2022-05-31 02:30:00,1852.87000,1853.12000,1852.26000,1852.87000,335
2022-05-31 02:45:00,1852.87000,1853.10000,1852.30000,1852.47000,371
2022-05-31 03:00:00,1852.48000,1852.68000,1851.46000,1851.56000,802
2022-05-31 03:15:00,1851.57000,1851.86000,1848.44000,1848.44000,943
2022-05-31 03:30:00,1848.47000,1849.94000,1847.95000,1848.90000,1152
2022-05-31 03:45:00,1848.81000,1848.90000,1846.13000,1846.53000,1038
2022-05-31 04:00:00,1846.53000,1848.74000,1845.99000,1847.40000,1573
2022-05-31 04:15:00,1847.41000,1848.19000,1847.16000,1847.94000,946
2022-05-31 04:30:00,1848.02000,1849.22000,1846.12000,1848.59000,1433
2022-05-31 04:45:00,1848.59000,1849.43000,1848.00000,1849.07000,1227
2022-05-31 05:00:00,1849.03000,1850.20000,1848.36000,1850.03000,952
2022-05-31 05:15:00,1850.03000,1850.44000,1849.13000,1850.40000,525
2022-05-31 05:30:00,1850.37000,1850.62000,1849.75000,1850.56000,589
2022-05-31 05:45:00,1850.51000,1851.45000,1850.37000,1851.37000,689
2022-05-31 06:00:00,1851.37000,1853.45000,1850.90000,1851.43000,963
2022-05-31 06:15:00,1851.47000,1852.17000,1851.26000,1852.00000,606
2022-05-31 06:30:00,1852.00000,1852.58000,1851.92000,1852.32000,459
2022-05-31 06:45:00,1852.32000,1852.60000,1851.95000,1852.32000,368
2022-05-31 07:00:00,1852.33000,1853.08000,1851.83000,1852.12000,493
2022-05-31 07:15:00,1852.10000,1852.57000,1851.09000,1852.37000,558
2022-05-31 07:30:00,1852.33000,1853.63000,1852.25000,1853.27000,496
2022-05-31 07:45:00,1853.28000,1853.28000,1851.63000,1851.67000,393
2022-05-31 08:00:00,1851.67000,1852.60000,1851.67000,1852.46000,503
2022-05-31 08:15:00,1852.46000,1853.28000,1852.10000,1852.88000,453
2022-05-31 08:30:00,1852.88000,1853.92000,1852.77000,1853.49000,893
2022-05-31 08:45:00,1853.49000,1854.59000,1853.06000,1853.11000,662
2022-05-31 09:00:00,1853.14000,1854.68000,1852.54000,1854.30000,848
2022-05-31 09:15:00,1854.30000,1855.25000,1852.83000,1854.40000,1038
2022-05-31 09:30:00,1854.40000,1856.43000,1854.13000,1854.21000,937
2022-05-31 09:45:00,1854.20000,1854.95000,1853.31000,1854.44000,864
2022-05-31 10:00:00,1854.39000,1855.94000,1854.31000,1855.07000,1082
2022-05-31 10:15:00,1855.08000,1855.49000,1854.62000,1855.14000,777
2022-05-31 10:30:00,1855.14000,1855.82000,1853.81000,1855.09000,789
2022-05-31 10:45:00,1855.09000,1855.21000,1853.84000,1854.72000,528
2022-05-31 11:00:00,1854.72000,1855.96000,1854.34000,1855.59000,479
2022-05-31 11:15:00,1855.59000,1857.09000,1855.38000,1856.65000,702
2022-05-31 11:30:00,1856.65000,1856.73000,1855.66000,1855.82000,560
2022-05-31 11:45:00,1855.84000,1855.96000,1852.19000,1852.69000,834
2022-05-31 12:00:00,1852.69000,1852.81000,1851.15000,1852.15000,806
2022-05-31 12:15:00,1852.13000,1853.39000,1851.93000,1852.74000,631
2022-05-31 12:30:00,1852.74000,1854.14000,1849.56000,1850.18000,938
2022-05-31 12:45:00,1850.20000,1850.76000,1849.16000,1850.30000,922
2022-05-31 13:00:00,1850.30000,1851.16000,1849.76000,1850.13000,804
2022-05-31 13:15:00,1850.14000,1850.74000,1848.90000,1849.08000,733
2022-05-31 13:30:00,1849.10000,1850.36000,1847.38000,1850.16000,911
2022-05-31 13:45:00,1850.26000,1850.77000,1848.24000,1849.18000,1088
2022-05-31 14:00:00,1849.19000,1850.70000,1846.77000,1850.31000,1289
2022-05-31 14:15:00,1850.31000,1850.66000,1848.44000,1849.33000,759
2022-05-31 14:30:00,1849.32000,1850.25000,1848.42000,1848.98000,704
2022-05-31 14:45:00,1848.98000,1849.71000,1844.60000,1848.90000,1632
2022-05-31 15:00:00,1848.84000,1852.21000,1848.37000,1851.94000,1417
2022-05-31 15:15:00,1851.94000,1852.33000,1847.19000,1847.45000,1647
2022-05-31 15:30:00,1847.45000,1851.31000,1847.35000,1848.93000,1651
2022-05-31 15:45:00,1848.93000,1850.27000,1848.64000,1848.90000,1407
