time_close,type,volume,price_open,price_close,sl,tp,profit,swap,commission,comment
2025.10.02 16:36,BUY_close,0.02,3892.99,3886.55,3886.55,3905.86,-12.88,0.00,0.00,sl 3886.55
2025.10.03 02:38,SELL_close,0.02,3845.59,3862.28,3862.28,3812.21,-33.38,-0.09,0.00,sl 3862.28
2025.10.03 16:42,BUY_close,0.02,3879.30,3887.13,3866.71,3887.13,15.66,0.00,0.00,tp 3887.13
2025.10.03 19:16,BUY_close,0.02,3889.77,3884.00,3884.00,3901.31,-11.54,0.00,0.00,sl 3884.00
2025.10.17 17:14,SELL_close,0.02,4237.48,4232.64,4273.53,4232.64,9.68,0.00,0.00,tp 4232.64
2025.10.17 17:28,SELL_close,0.02,4217.99,4243.25,4243.25,4167.46,-50.52,0.00,0.00,sl 4243.25
2025.10.20 15:58,BUY_close,0.02,4296.86,4326.63,4281.98,4326.63,59.54,0.00,0.00,tp 4326.63
2025.10.21 17:20,SELL_close,0.02,4224.59,4163.36,4255.21,4163.36,122.46,0.00,0.00,tp 4163.36
2025.10.29 21:50,SELL_close,0.02,3929.09,3948.29,3948.29,3909.62,-38.40,0.00,0.00,sl 3948.29
2025.10.31 19:42,SELL_close,0.02,3977.59,3995.80,3995.80,3963.30,-36.42,0.00,0.00,sl 3995.80
2025.11.07 18:55,BUY_close,0.02,4027.95,4012.55,4012.55,4058.75,-30.80,0.00,0.00,sl 4012.55
2025.11.11 17:27,SELL_close,0.02,4107.64,4105.69,4118.69,4105.69,3.90,0.00,0.00,tp 4105.69
2025.11.11 17:51,SELL_close,0.02,4098.92,4111.50,4111.50,4085.77,-25.16,0.00,0.00,sl 4111.50
2025.11.12 18:59,BUY_close,0.02,4159.87,4197.49,4141.06,4197.49,75.24,0.00,0.00,tp 4197.49
2025.11.14 13:15,SELL_close,0.02,4152.79,4150.36,4164.34,4150.36,4.86,0.00,0.00,tp 4150.36
2025.11.14 15:08,SELL_close,0.02,4140.34,4106.30,4157.36,4106.30,68.08,0.00,0.00,tp 4106.30
2025.11.18 01:00,SELL_close,0.02,4027.56,4051.40,4051.40,3979.88,-47.68,-0.09,0.00,sl 4051.40
2025.11.18 16:46,BUY_close,0.02,4080.46,4069.04,4069.04,4085.79,-22.84,0.00,0.00,sl 4069.04
2025.11.24 15:43,BUY_close,0.02,4081.71,4075.75,4075.75,4095.99,-11.92,0.00,0.00,sl 4075.75
2025.11.25 19:33,BUY_close,0.02,4111.62,4155.68,4089.59,4155.68,88.12,-0.25,0.00,tp 4155.68
2025.12.03 16:08,BUY_close,0.02,4239.01,4222.75,4222.75,4271.54,-32.52,0.00,0.00,sl 4222.75
2025.12.04 18:38,BUY_close,0.02,4218.59,4211.18,4211.18,4230.96,-14.82,0.00,0.00,sl 4211.18
2025.12.09 11:07,SELL_close,0.02,4188.74,4203.67,4203.67,4158.88,-29.86,-0.09,0.00,sl 4203.67
2025.12.11 02:15,BUY_close,0.02,4222.55,4244.20,4211.72,4244.20,43.30,-0.76,0.00,tp 4244.20
2025.12.16 16:34,BUY_close,0.02,4325.87,4331.81,4318.22,4331.81,11.88,0.00,0.00,tp 4331.81
2025.12.18 16:55,SELL_close,0.02,4314.12,4326.35,4326.35,4289.66,-24.46,0.00,0.00,sl 4326.35
2025.12.18 19:08,BUY_close,0.02,4362.04,4340.34,4340.34,4405.45,-43.40,0.00,0.00,sl 4340.34
2025.12.23 17:38,SELL_close,0.02,4431.44,4452.11,4452.11,4430.28,-41.34,0.00,0.00,sl 4452.11
2025.12.24 18:04,SELL_close,0.02,4449.78,4468.01,4468.01,4446.22,-36.46,0.00,0.00,sl 4468.01
2026.01.09 17:24,BUY_close,0.02,4486.20,4510.91,4473.84,4510.91,49.42,0.00,0.00,tp 4510.91
2026.01.13 15:43,BUY_close,0.02,4614.65,4619.14,4607.74,4619.14,8.98,0.00,0.00,tp 4619.14
2026.01.13 16:45,BUY_close,0.02,4624.81,4626.90,4615.28,4626.90,4.18,0.00,0.00,tp 4626.90
2026.01.16 18:22,SELL_close,0.02,4570.31,4594.76,4594.76,4521.41,-48.90,0.00,0.00,sl 4594.76
2026.01.22 20:01,BUY_close,0.02,4865.01,4907.38,4843.82,4907.38,84.74,0.00,0.00,tp 4907.38
2026.01.27 22:53,BUY_close,0.02,5117.70,5174.99,5089.05,5174.99,114.58,0.00,0.00,tp 5174.99
2026.01.29 17:26,SELL_close,0.02,5322.77,5246.71,5429.75,5246.71,152.12,0.00,0.00,tp 5246.71
2026.01.29 18:14,SELL_close,0.02,5169.45,5276.72,5276.72,4954.91,-214.54,0.00,0.00,sl 5276.72
2026.02.04 18:59,SELL_close,0.02,4870.57,4910.47,4910.47,4790.77,-79.80,0.00,0.00,sl 4910.47
2026.02.09 01:28,BUY_close,0.02,4927.05,5025.05,4878.05,5025.05,196.00,-0.25,0.00,tp 5025.05
2026.02.20 16:45,SELL_close,0.02,4965.80,5058.30,5058.30,4780.80,-185.00,-0.73,0.00,sl 5058.30
2026.02.24 17:45,SELL_close,0.02,5129.21,5151.37,5151.37,5084.90,-44.32,0.00,0.00,sl 5151.37
2026.02.26 17:38,SELL_close,0.02,5140.63,5166.11,5166.11,5089.68,-50.96,0.00,0.00,sl 5166.11
2026.03.05 20:03,SELL_close,0.02,5105.42,5053.98,5131.14,5053.98,102.88,0.00,0.00,tp 5053.98
2026.03.11 16:29,SELL_close,0.02,5159.19,5194.38,5194.38,5088.80,-70.38,0.00,0.00,sl 5194.38
2026.03.20 16:15,SELL_close,0.02,4608.06,4581.45,4644.96,4581.45,53.22,0.00,0.00,tp 4581.45
2026.03.20 16:24,SELL_close,0.02,4577.17,4564.20,4591.72,4564.20,25.94,0.00,0.00,tp 4564.20
2026.03.27 17:21,BUY_close,0.02,4489.27,4542.81,4462.50,4542.81,107.08,0.00,0.00,tp 4542.81
2026.03.30 16:49,BUY_close,0.02,4564.48,4533.92,4533.92,4625.60,-61.12,0.00,0.00,sl 4533.92
2026.04.08 01:00,BUY_close,0.02,4697.95,4718.52,4687.66,4718.52,41.14,-0.25,0.00,tp 4718.52
2026.04.09 16:36,BUY_close,0.02,4739.32,4765.53,4727.86,4765.53,52.42,0.00,0.00,tp 4765.53
2026.04.09 17:33,BUY_close,0.02,4776.76,4756.76,4756.76,4816.76,-40.00,0.00,0.00,sl 4756.76
2026.04.10 17:49,BUY_close,0.02,4788.76,4773.65,4773.65,4798.31,-30.22,0.00,0.00,sl 4773.65
2026.04.15 13:45,SELL_close,0.02,4795.36,4800.90,4800.90,4773.34,-11.08,0.00,0.00,sl 4800.90
2026.04.16 22:41,SELL_close,0.02,4785.13,4796.23,4796.23,4762.92,-22.20,0.00,0.00,sl 4796.23
2026.04.17 15:30,BUY_close,0.02,4815.86,4820.82,4804.61,4820.82,9.92,0.00,0.00,tp 4820.82
2026.04.17 16:10,BUY_close,0.02,4833.45,4869.17,4815.59,4869.17,71.44,0.00,0.00,tp 4869.17
2026.04.24 15:45,BUY_close,0.02,4717.16,4697.56,4697.56,4722.45,-39.20,0.00,0.00,sl 4697.56
2026.04.24 18:44,BUY_close,0.02,4731.57,4714.88,4714.88,4737.22,-33.38,0.00,0.00,sl 4714.88
2026.05.01 17:47,BUY_close,0.02,4660.20,4629.17,4629.17,4722.27,-62.06,0.00,0.00,sl 4629.17
2026.05.04 14:02,SELL_close,0.02,4548.91,4570.53,4570.53,4505.66,-43.24,0.00,0.00,sl 4570.53
2026.05.11 16:23,BUY_close,0.02,4717.91,4734.04,4699.65,4734.04,32.26,0.00,0.00,tp 4734.04
2026.05.11 16:45,BUY_close,0.02,4742.89,4745.35,4725.67,4745.35,4.92,0.00,0.00,tp 4745.35
2026.05.12 16:39,SELL_close,0.02,4685.47,4697.95,4697.95,4660.51,-24.96,0.00,0.00,sl 4697.95
2026.05.13 16:24,SELL_close,0.02,4687.33,4693.83,4693.83,4647.03,-13.00,0.00,0.00,sl 4693.83
2026.05.15 03:01,SELL_close,0.02,4668.86,4645.29,4680.64,4645.29,47.14,-0.09,0.00,tp 4645.29
