1754023380,23189.987,23189.987,23186.376,23186.543,66
1754023440,23186.876,23189.308,23186.465,23188.420,69
1754023500,23188.575,23189.521,23187.398,23188.089,66
1754023560,23187.775,23188.898,23186.253,23188.365,73
1754023620,23188.109,23188.109,23185.097,23186.897,80
1754023680,23187.053,23187.053,23182.109,23182.398,104
1754023740,23182.232,23182.789,23176.954,23177.865,116
1754023800,23178.231,23181.689,23178.231,23181.689,102
1754023860,23181.331,23181.832,23177.086,23178.897,97
1754023920,23178.909,23179.043,23176.332,23178.053,74
1754023980,23178.265,23186.408,23178.054,23186.408,88
1754024040,23186.075,23188.789,23186.075,23187.799,100
1754024100,23187.764,23187.819,23184.387,23184.387,76
1754024160,23185.109,23185.419,23181.475,23184.321,88
1754024220,23184.264,23186.299,23183.297,23184.897,72
1754024280,23184.754,23185.599,23184.098,23184.599,60
1754024340,23184.908,23189.599,23184.908,23188.487,77
1754024400,23188.564,23193.521,23187.386,23193.321,114
1754024460,23193.498,23193.498,23190.331,23191.532,93
1754024520,23191.497,23191.497,23188.298,23190.542,91
1754024580,23190.765,23191.097,23186.998,23188.042,69
1754024640,23187.510,23188.286,23185.997,23186.542,69
1754024700,23186.509,23187.754,23185.520,23187.109,74
1754024760,23187.220,23191.954,23186.831,23191.598,91
1754024820,23191.799,23194.397,23190.231,23193.965,98
1754024880,23193.910,23194.789,23192.531,23192.575,94
1754024940,23192.608,23192.887,23189.097,23191.343,93
1754025000,23191.732,23193.397,23191.098,23191.098,88
1754025060,23191.354,23191.354,23183.820,23183.820,131
1754025120,23183.787,23186.887,23182.354,23185.397,124
1754025180,23185.599,23187.097,23183.986,23183.986,77
1754025240,23184.042,23185.589,23183.042,23184.320,77
1754025300,23184.420,23186.689,23182.820,23185.075,82
1754025360,23184.964,23185.386,23182.376,23184.721,77
1754025420,23184.731,23185.989,23182.554,23185.232,79
1754025480,23184.887,23185.099,23181.887,23181.887,76
1754025540,23181.921,23186.119,23181.921,23185.410,77
1754025600,23185.321,23187.775,23181.420,23181.999,88
1754025660,23181.609,23181.943,23180.010,23180.354,118
1754025720,23180.519,23184.099,23180.376,23181.598,85
1754025780,23181.364,23182.865,23180.242,23180.997,98
1754025840,23180.908,23184.409,23180.364,23182.331,103
1754025900,23182.319,23182.998,23179.453,23182.021,104
1754025960,23182.310,23182.310,23179.365,23179.910,92
1754026020,23180.032,23181.109,23179.242,23179.498,77
1754026080,23179.586,23180.310,23176.710,23178.119,80
1754026140,23177.965,23177.965,23174.510,23177.097,131
1754026200,23177.043,23184.099,23176.353,23182.865,156
1754026260,23182.732,23182.908,23180.042,23180.242,111
1754026320,23180.097,23184.908,23179.343,23183.332,116
1754026380,23183.886,23184.764,23180.299,23180.299,101
1754026440,23180.608,23184.775,23180.564,23183.554,62
1754026500,23183.842,23184.499,23179.421,23179.576,86
1754026560,23179.442,23179.865,23177.332,23177.332,86
1754026620,23177.397,23180.089,23175.220,23177.076,105
1754026680,23176.475,23176.609,23172.032,23173.431,132
1754026740,23173.364,23176.989,23172.420,23174.387,108
1754026800,23174.287,23175.999,23173.964,23175.443,125
1754026860,23175.331,23180.289,23174.276,23179.753,91
1754026920,23180.108,23182.876,23179.353,23179.598,135
1754026980,23178.789,23179.553,23173.098,23173.408,120
1754027040,23173.454,23173.842,23168.065,23169.475,142
1754027100,23169.364,23169.365,23163.289,23163.821,164
1754027160,23163.921,23167.309,23163.732,23165.776,149
1754027220,23165.531,23173.008,23164.921,23171.521,126
1754027280,23171.742,23171.742,23165.943,23166.042,124
1754027340,23165.343,23167.987,23163.486,23167.354,114
1754027400,23167.464,23170.419,23162.554,23164.931,157
1754027460,23165.276,23170.299,23160.320,23169.608,180
1754027520,23169.465,23170.354,23164.554,23168.497,148
1754027580,23168.398,23171.699,23167.343,23171.565,111
1754027640,23171.475,23173.089,23168.876,23170.231,79
1754027700,23170.042,23172.799,23166.019,23166.598,137
1754027760,23166.464,23166.564,23161.298,23165.499,137
1754027820,23165.265,23165.265,23162.997,23163.309,104
1754027880,23163.375,23165.119,23162.019,23163.299,123
1754027940,23163.332,23165.409,23161.498,23162.810,113
1754028000,23162.999,23162.999,23156.820,23160.321,216
1754028060,23160.521,23161.865,23158.342,23158.997,151
1754028120,23159.097,23166.232,23159.097,23162.064,163
1754028180,23162.275,23166.319,23162.275,23164.354,129
1754028240,23164.065,23165.999,23162.042,23164.554,103
1754028300,23164.764,23165.699,23156.021,23157.808,162
1754028360,23157.919,23164.075,23157.919,23162.221,163
1754028420,23162.043,23163.589,23160.042,23160.042,144
1754028480,23160.364,23162.809,23158.787,23159.843,132
1754028540,23160.386,23165.589,23159.876,23163.454,137
1754028600,23163.609,23163.609,23153.510,23157.054,181
1754028660,23156.932,23157.564,23148.565,23150.887,187
1754028720,23150.753,23152.789,23145.331,23146.332,166
1754028780,23146.387,23151.597,23146.387,23147.289,150
1754028840,23147.232,23148.099,23145.254,23146.853,106
1754028900,23146.553,23152.799,23146.553,23150.554,147
1754028960,23150.853,23153.289,23145.564,23147.875,141
1754029020,23147.953,23147.953,23143.842,23147.089,136
1754029080,23146.932,23149.220,23145.954,23146.486,118
1754029140,23146.564,23151.597,23146.054,23149.064,131
1754029200,23149.319,23149.410,23144.231,23147.020,117
1754029260,23147.442,23151.089,23146.919,23150.021,130
1754029320,23150.210,23151.089,23148.043,23150.464,114
