date,open,high,low,close
2016-08-30,6838.10009765625,6851.7998046875,6808.10009765625,6820.7998046875
2016-08-31,6820.7998046875,6832.89990234375,6779.5,6781.5
2016-09-01,6781.5,6826.2001953125,6723.2001953125,6746.0
2016-09-02,6746.0,6928.2998046875,6746.0,6894.60009765625
2016-09-05,6894.60009765625,6910.7001953125,6867.10009765625,6879.39990234375
2016-09-06,6879.39990234375,6887.89990234375,6819.0,6826.10009765625
2016-09-07,6826.10009765625,6856.10009765625,6814.89990234375,6846.60009765625
2016-09-08,6846.60009765625,6889.60009765625,6819.7998046875,6858.7001953125
2016-09-09,6858.7001953125,6862.39990234375,6762.2998046875,6777.0
2016-09-12,6777.0,6777.0,6654.5,6700.89990234375
2016-09-13,6700.89990234375,6724.7001953125,6665.60009765625,6665.60009765625
2016-09-14,6665.60009765625,6720.2998046875,6665.60009765625,6673.2998046875
2016-09-15,6673.2998046875,6736.7998046875,6654.7998046875,6730.2998046875
2016-09-16,6730.2998046875,6746.2998046875,6692.7001953125,6710.2998046875
2016-09-19,6710.2998046875,6814.0,6710.2998046875,6813.60009765625
2016-09-20,6813.60009765625,6869.10009765625,6798.0,6830.7998046875
2016-09-21,6830.7998046875,6879.7998046875,6830.5,6834.7998046875
2016-09-22,6834.7998046875,6937.2998046875,6834.7998046875,6911.39990234375
2016-09-23,6911.39990234375,6920.2001953125,6882.60009765625,6909.39990234375
2016-09-26,6909.39990234375,6909.60009765625,6806.5,6818.0
2016-09-27,6818.0,6865.5,6768.89990234375,6807.7001953125
2016-09-28,6807.7001953125,6878.2001953125,6807.7001953125,6849.39990234375
2016-09-29,6849.39990234375,6941.10009765625,6849.39990234375,6919.39990234375
2016-09-30,6919.39990234375,6919.39990234375,6809.5,6899.2998046875
2016-10-03,6899.2998046875,6996.39990234375,6898.10009765625,6983.5
2016-10-04,6983.5,7121.89990234375,6983.5,7074.2998046875
2016-10-05,7074.2998046875,7076.7001953125,7024.10009765625,7033.2998046875
2016-10-06,7033.2998046875,7049.2998046875,7000.0,7000.0
2016-10-07,7000.0,7079.2998046875,7000.0,7044.39990234375
2016-10-10,7044.39990234375,7104.5,7024.10009765625,7097.5
2016-10-11,7097.5,7129.7998046875,7061.39990234375,7070.89990234375
2016-10-12,7070.89990234375,7079.39990234375,7015.7998046875,7024.0
2016-10-13,7024.0,7024.0,6930.0,6977.7001953125
2016-10-14,6977.7001953125,7055.2001953125,6977.7001953125,7013.60009765625
2016-10-17,7013.60009765625,7013.60009765625,6937.39990234375,6947.60009765625
2016-10-18,6947.60009765625,7033.0,6946.39990234375,7000.10009765625
2016-10-19,7000.10009765625,7031.2001953125,6975.89990234375,7021.89990234375
2016-10-20,7021.89990234375,7047.60009765625,6998.7998046875,7026.89990234375
2016-10-21,7026.89990234375,7058.39990234375,7011.10009765625,7020.5
2016-10-24,7020.5,7067.2998046875,6983.39990234375,6986.39990234375
2016-10-25,6986.39990234375,7067.2001953125,6985.89990234375,7017.60009765625
2016-10-26,7017.60009765625,7017.60009765625,6917.7998046875,6958.10009765625
2016-10-27,6958.10009765625,7003.89990234375,6924.10009765625,6986.60009765625
2016-10-28,6986.60009765625,7006.39990234375,6927.2001953125,6996.2998046875
2016-10-31,6996.2998046875,6996.2998046875,6945.2998046875,6954.2001953125
2016-11-01,6954.2001953125,6993.7998046875,6903.60009765625,6917.10009765625
2016-11-02,6917.10009765625,6917.10009765625,6845.39990234375,6845.39990234375
2016-11-03,6845.39990234375,6873.2001953125,6790.5,6790.5
2016-11-04,6790.5,6790.5,6676.60009765625,6693.2998046875
2016-11-07,6693.2998046875,6806.89990234375,6693.2998046875,6806.89990234375
2016-11-08,6806.89990234375,6849.2998046875,6795.10009765625,6843.10009765625
2016-11-09,6843.10009765625,6911.7998046875,6696.2998046875,6911.7998046875
2016-11-10,6911.7998046875,6997.2998046875,6799.10009765625,6828.0
2016-11-11,6828.0,6849.0,6709.7001953125,6730.39990234375
2016-11-14,6730.39990234375,6814.2001953125,6730.39990234375,6753.2001953125
2016-11-15,6753.2001953125,6820.5,6753.2001953125,6792.7001953125
2016-11-16,6792.7001953125,6810.5,6735.7001953125,6749.7001953125
2016-11-17,6749.7001953125,6798.7998046875,6745.10009765625,6794.7001953125
2016-11-18,6794.7001953125,6811.60009765625,6740.2998046875,6775.7998046875
2016-11-21,6775.7998046875,6820.89990234375,6754.2001953125,6778.0
2016-11-22,6778.0,6851.39990234375,6778.0,6819.7001953125
2016-11-23,6819.7001953125,6880.7001953125,6779.5,6817.7001953125
2016-11-24,6817.7001953125,6831.2001953125,6790.7001953125,6829.2001953125
