date,open,high,low,close
2016-08-31,121.25,121.34375,121.1328125,121.2421875
2016-09-01,121.1640625,121.3203125,120.9921875,121.2578125
2016-09-02,121.21875,121.5078125,121.078125,121.25
2016-09-06,121.1875,121.625,121.1328125,121.578125
2016-09-07,121.5625,121.671875,121.5390625,121.578125
2016-09-08,121.5703125,121.6015625,121.21875,121.234375
2016-09-09,121.3046875,121.3125,121.0546875,121.09375
2016-09-12,121.078125,121.265625,121.0234375,121.2109375
2016-09-13,121.234375,121.3203125,120.9375,120.9609375
2016-09-14,121.0,121.2890625,121.0,121.265625
2016-09-15,121.203125,121.4765625,121.15625,121.3203125
2016-09-16,121.34375,121.453125,121.1953125,121.2109375
2016-09-19,121.25,121.296875,121.171875,121.21875
2016-09-20,121.15625,121.2578125,121.1484375,121.234375
2016-09-21,121.15625,121.3125,120.96875,121.2265625
2016-09-22,121.3203125,121.4765625,121.28125,121.34375
2016-09-23,121.359375,121.4765625,121.359375,121.4765625
2016-09-26,121.484375,121.609375,121.484375,121.609375
2016-09-27,121.65625,121.7578125,121.6328125,121.703125
2016-09-28,121.7265625,121.7578125,121.6328125,121.6640625
2016-09-29,121.6328125,121.7265625,121.59375,121.7265625
2016-09-30,121.8046875,121.8125,121.5,121.5078125
2016-10-03,121.546875,121.546875,121.3203125,121.34375
2016-10-04,121.3515625,121.375,121.09375,121.1328125
2016-10-05,121.1171875,121.1953125,120.8984375,120.96875
2016-10-06,120.9921875,121.0546875,120.7890625,120.8046875
2016-10-07,120.828125,120.96875,120.6875,120.8671875
2016-10-11,120.6953125,120.8125,120.6484375,120.7421875
2016-10-12,120.734375,120.7578125,120.5546875,120.703125
2016-10-13,120.75,120.9609375,120.7421875,120.9375
2016-10-14,120.875,121.015625,120.75,120.828125
2016-10-17,120.8203125,121.0234375,120.7578125,120.9765625
2016-10-18,120.9609375,121.125,120.8984375,121.0703125
2016-10-19,121.109375,121.171875,120.9765625,121.0703125
2016-10-20,121.1015625,121.1484375,120.96875,121.03125
2016-10-21,120.9765625,121.0703125,120.9296875,121.0546875
2016-10-24,121.0703125,121.1328125,120.8984375,120.953125
2016-10-25,120.9296875,121.03125,120.8203125,120.9453125
2016-10-26,120.953125,121.0,120.7890625,120.8359375
2016-10-27,120.8125,120.828125,120.5390625,120.640625
2016-10-28,120.59375,120.796875,120.4921875,120.734375
2016-10-31,120.765625,120.84375,120.7109375,120.796875
2016-11-01,120.8203125,120.9765625,120.59375,120.9375
2016-11-02,120.8828125,121.1875,120.8828125,121.0625
2016-11-03,121.046875,121.2734375,120.953125,121.0703125
2016-11-04,121.0625,121.2578125,120.984375,121.1796875
2016-11-07,121.0,121.0078125,120.8359375,120.9375
2016-11-08,120.9375,120.984375,120.6171875,120.7109375
2016-11-09,120.71875,121.671875,119.8984375,120.0234375
2016-11-10,120.046875,120.328125,119.6171875,119.78125
2016-11-14,119.5234375,119.5234375,118.8203125,119.171875
2016-11-15,119.03125,119.34375,118.9375,119.0234375
2016-11-16,119.0859375,119.1484375,118.734375,119.0078125
2016-11-17,119.0078125,119.203125,118.6875,118.84375
2016-11-18,118.6953125,118.90625,118.4609375,118.578125
2016-11-21,118.46875,118.7265625,118.421875,118.53125
2016-11-22,118.671875,118.7890625,118.4921875,118.640625
2016-11-23,118.640625,118.7265625,118.1171875,118.34375
2016-11-25,118.3359375,118.359375,117.9765625,118.3046875
2016-11-28,118.390625,118.5859375,118.3515625,118.515625
2016-11-29,118.5703125,118.640625,118.359375,118.6171875
2016-11-30,118.609375,118.6328125,118.203125,118.359375
2016-12-01,118.296875,118.328125,117.9296875,118.109375
2016-12-02,118.109375,118.5078125,118.109375,118.453125
2016-12-05,118.6171875,118.7265625,118.1640625,118.3671875
2016-12-06,118.40625,118.453125,118.3359375,118.390625
2016-12-07,118.40625,118.6171875,118.390625,118.6015625
2016-12-08,118.6171875,118.625,118.3359375,118.546875
2016-12-09,118.3671875,118.5625,118.2265625,118.28125
2016-12-12,118.15625,118.34375,118.0625,118.328125
2016-12-13,118.3671875,118.421875,118.1875,118.2109375
2016-12-14,118.2890625,118.3984375,117.5390625,117.78125
2016-12-15,117.6171875,117.6171875,117.2578125,117.421875
2016-12-16,117.4609375,117.6015625,117.3515625,117.4453125
2016-12-19,117.453125,117.7421875,117.453125,117.6640625
2016-12-20,117.5703125,117.6328125,117.5703125,117.609375
2016-12-21,117.6484375,117.7421875,117.6484375,117.6875
2016-12-22,117.671875,117.671875,117.671875,117.671875
2016-12-23,117.6640625,117.6953125,117.6484375,117.6953125
2016-12-27,117.75,117.75,117.6015625,117.625
2016-12-28,117.609375,117.8984375,117.609375,117.8984375
2016-12-29,118.0234375,118.1328125,117.9921875,118.1328125
2016-12-30,118.1640625,118.328125,118.1640625,118.28125
2017-01-03,117.5546875,117.6484375,117.25,117.546875
2017-01-04,117.5703125,117.640625,117.3984375,117.53125
2017-01-05,117.59375,118.1015625,117.546875,117.9453125
2017-01-06,118.0390625,118.25,117.5859375,117.640625
2017-01-09,117.6328125,117.8828125,117.5390625,117.8515625
2017-01-10,117.8671875,117.9375,117.765625,117.8515625
2017-01-11,117.875,118.1171875,117.7265625,117.859375
2017-01-12,117.8203125,118.1796875,117.8203125,117.90625
2017-01-13,117.90625,118.1875,117.578125,117.84375
2017-01-17,117.7890625,118.25,117.78125,118.15625
2017-01-18,118.1640625,118.1796875,117.578125,117.859375
2017-01-19,117.5703125,117.671875,117.3671875,117.5546875
2017-01-20,117.5078125,117.7265625,117.34375,117.6796875
2017-01-23,117.6640625,118.1328125,117.65625,118.03125
2017-01-24,118.046875,118.0859375,117.671875,117.6875
2017-01-25,117.71875,117.78125,117.4296875,117.4765625
2017-01-26,117.546875,117.6484375,117.3671875,117.6171875
2017-01-27,117.609375,117.734375,117.5,117.7265625
2017-01-30,117.7421875,117.84375,117.65625,117.75
2017-01-31,117.6953125,117.9765625,117.6796875,117.8671875
2017-02-01,117.8515625,117.859375,117.4765625,117.7890625
2017-02-02,117.765625,117.9921875,117.71875,117.8203125
2017-02-03,117.796875,118.1015625,117.5859375,117.765625
2017-02-06,117.859375,118.2109375,117.828125,118.15625
2017-02-07,118.1875,118.3359375,118.0390625,118.1953125
2017-02-08,118.171875,118.4453125,118.1328125,118.34375
2017-02-09,118.4140625,118.4140625,118.0390625,118.078125
2017-02-10,118.0859375,118.09375,117.921875,117.9921875
2017-02-13,117.96875,117.96875,117.796875,117.8828125
2017-02-14,117.8515625,117.90625,117.484375,117.6328125
2017-02-15,117.6171875,117.6484375,117.34375,117.453125
2017-02-16,117.4765625,117.8125,117.453125,117.75
2017-02-17,117.75,118.03125,117.6953125,117.921875
2017-02-21,117.9296875,117.953125,117.7265625,117.90625
2017-02-22,117.875,118.046875,117.7109375,117.9375
