date,open,high,low,close
2016-08-31,171.84375,172.09375,171.3125,171.84375
2016-09-01,171.71875,172.28125,170.625,171.9375
2016-09-02,171.90625,172.78125,170.25,170.96875
2016-09-06,170.84375,172.5,170.3125,172.125
2016-09-07,172.40625,172.9375,172.15625,172.1875
2016-09-08,172.34375,172.46875,169.6875,169.90625
2016-09-09,170.21875,170.46875,168.0625,168.375
2016-09-12,168.625,168.625,167.96875,168.34375
2016-09-13,168.65625,169.0,166.3125,166.8125
2016-09-14,166.71875,167.8125,166.625,167.40625
2016-09-15,167.0,167.375,166.1875,166.9375
2016-09-16,167.53125,167.71875,167.125,167.1875
2016-09-19,167.34375,167.6875,166.96875,167.25
2016-09-20,167.59375,168.15625,167.28125,167.53125
2016-09-21,166.03125,167.34375,165.90625,167.34375
2016-09-22,167.03125,168.03125,166.9375,167.5
2016-09-23,167.78125,168.25,167.5625,167.8125
2016-09-26,167.875,168.75,167.65625,168.25
2016-09-27,168.4375,169.6875,167.90625,169.4375
2016-09-28,169.53125,170.09375,169.0,169.25
2016-09-29,169.1875,169.90625,168.28125,169.625
2016-09-30,169.53125,170.03125,167.9375,168.15625
2016-10-03,168.4375,168.78125,167.8125,168.0625
2016-10-04,167.96875,168.40625,166.28125,166.4375
2016-10-05,166.375,166.84375,165.28125,165.71875
2016-10-06,165.84375,166.3125,164.9375,165.0625
2016-10-07,165.1875,165.5625,164.25,164.90625
2016-10-11,164.28125,164.71875,163.75,164.34375
2016-10-12,164.125,164.34375,163.59375,164.09375
2016-10-13,164.34375,165.40625,164.28125,164.96875
2016-10-14,164.78125,164.875,163.0,163.21875
2016-10-17,163.0625,164.25,162.59375,163.9375
2016-10-18,164.0,164.46875,163.28125,164.28125
2016-10-19,164.46875,164.8125,163.78125,164.21875
2016-10-20,164.34375,165.21875,163.75,164.65625
2016-10-21,164.40625,165.1875,164.3125,164.8125
2016-10-24,164.96875,165.3125,163.9375,164.3125
2016-10-25,164.28125,165.15625,163.75,164.6875
2016-10-26,164.71875,165.15625,163.59375,163.9375
2016-10-27,163.8125,163.9375,161.6875,162.4375
2016-10-28,162.21875,162.6875,161.65625,162.1875
2016-10-31,162.375,162.90625,162.0,162.71875
2016-11-01,162.8125,163.28125,161.6875,163.0625
2016-11-02,162.8125,163.90625,162.75,163.25
2016-11-03,163.1875,163.9375,162.40625,162.71875
2016-11-04,162.71875,163.8125,162.53125,163.34375
2016-11-07,162.6875,163.0,162.34375,162.59375
2016-11-08,162.625,163.21875,161.71875,162.09375
2016-11-09,162.25,164.96875,156.6875,156.96875
2016-11-10,157.3125,158.53125,155.5,156.21875
2016-11-14,155.28125,155.4375,152.75,154.40625
2016-11-15,153.90625,155.5,153.84375,154.28125
2016-11-16,154.65625,155.28125,153.3125,155.03125
2016-11-17,155.21875,155.375,153.125,153.78125
2016-11-18,153.21875,154.25,152.375,153.15625
2016-11-21,152.90625,153.875,152.8125,153.1875
2016-11-22,153.75,154.28125,153.1875,153.25
2016-11-23,153.4375,153.6875,151.59375,152.90625
2016-11-25,152.9375,153.375,151.96875,152.8125
2016-11-28,153.125,153.90625,153.125,153.6875
2016-11-29,153.75,154.34375,153.09375,154.125
2016-11-30,154.1875,154.34375,151.5,152.65625
2016-12-01,152.34375,152.375,149.75,150.875
2016-12-02,150.6875,152.25,150.6875,151.875
2016-12-05,152.375,152.9375,150.71875,152.125
2016-12-06,151.96875,152.34375,151.53125,151.65625
2016-12-07,151.6875,152.78125,151.65625,152.5625
2016-12-08,152.46875,152.5625,150.59375,151.34375
2016-12-09,150.9375,151.0625,149.53125,149.875
2016-12-12,149.625,150.09375,148.78125,150.0
2016-12-13,150.1875,151.09375,150.0,150.21875
2016-12-14,151.03125,151.4375,149.09375,149.84375
2016-12-15,149.25,150.0625,148.90625,149.9375
2016-12-16,150.5,150.5,148.8125,149.03125
2016-12-19,149.09375,150.40625,149.09375,150.3125
2016-12-20,150.09375,150.09375,149.5625,149.875
2016-12-22,149.125,149.34375,148.375,148.8125
2016-12-23,148.90625,149.375,148.78125,149.125
2016-12-27,148.96875,149.03125,148.21875,148.5625
2016-12-28,148.5625,149.78125,148.5,149.71875
2016-12-29,149.65625,150.375,149.53125,149.90625
2016-12-30,149.875,150.75,149.71875,150.65625
2017-01-03,150.21875,150.875,149.0625,150.5625
2017-01-04,150.625,151.0625,150.0625,150.6875
2017-01-05,150.90625,153.0,150.4375,152.5
