date,open,high,low,close
2016-08-31,10627.1796875,10666.8095703125,10591.4404296875,10592.6904296875
2016-09-01,10622.330078125,10676.3203125,10492.2900390625,10534.3095703125
2016-09-02,10570.7001953125,10693.6396484375,10516.8095703125,10683.8203125
2016-09-05,10712.169921875,10740.3896484375,10671.5498046875,10672.2197265625
2016-09-06,10704.8896484375,10742.490234375,10657.4296875,10687.1396484375
2016-09-07,10706.8603515625,10775.9296875,10659.73046875,10752.98046875
2016-09-08,10749.8203125,10780.419921875,10570.0595703125,10675.2900390625
2016-09-09,10641.8095703125,10671.66015625,10539.3095703125,10573.4404296875
2016-09-12,10380.4599609375,10431.900390625,10299.3798828125,10431.76953125
2016-09-13,10483.0703125,10507.0400390625,10382.849609375,10386.599609375
2016-09-14,10410.2998046875,10450.41015625,10369.7197265625,10378.400390625
2016-09-15,10360.83984375,10446.400390625,10337.23046875,10431.2001953125
2016-09-16,10403.669921875,10427.2001953125,10262.1904296875,10276.169921875
2016-09-19,10349.8701171875,10381.9296875,10326.75,10373.8701171875
2016-09-20,10374.6796875,10465.9501953125,10371.6201171875,10393.8603515625
2016-09-21,10496.4296875,10535.25,10427.2197265625,10436.490234375
2016-09-22,10518.5302734375,10705.400390625,10517.7998046875,10674.1796875
2016-09-23,10662.490234375,10675.6201171875,10610.9501953125,10626.9697265625
2016-09-26,10555.1904296875,10560.830078125,10385.6298828125,10393.7099609375
2016-09-27,10451.400390625,10455.8798828125,10265.6904296875,10361.48046875
2016-09-28,10425.8896484375,10518.3603515625,10417.150390625,10438.33984375
2016-09-29,10545.599609375,10575.33984375,10370.23046875,10405.5400390625
2016-09-30,10240.6904296875,10531.259765625,10189.9404296875,10511.01953125
2016-10-04,10492.9697265625,10646.7197265625,10492.25,10619.6103515625
2016-10-05,10535.6201171875,10622.4404296875,10486.6298828125,10585.7802734375
2016-10-06,10641.1298828125,10641.1298828125,10537.6796875,10568.7998046875
2016-10-07,10549.6904296875,10579.08984375,10465.349609375,10490.8603515625
2016-10-10,10496.009765625,10639.41015625,10454.98046875,10624.080078125
2016-10-11,10600.9404296875,10692.3603515625,10568.7197265625,10577.16015625
2016-10-12,10572.7197265625,10604.0,10503.2001953125,10523.0703125
2016-10-13,10425.7900390625,10430.830078125,10349.0595703125,10414.0703125
2016-10-14,10450.0595703125,10615.2998046875,10449.4697265625,10580.3798828125
2016-10-17,10544.6904296875,10583.7001953125,10491.2802734375,10503.5703125
2016-10-18,10560.1396484375,10657.33984375,10543.6904296875,10631.5498046875
2016-10-19,10626.990234375,10672.2197265625,10587.7099609375,10645.6796875
2016-10-20,10665.75,10748.41015625,10592.8896484375,10701.3896484375
2016-10-21,10710.509765625,10737.259765625,10672.349609375,10710.73046875
2016-10-24,10743.8701171875,10820.080078125,10743.8701171875,10761.169921875
2016-10-25,10786.25,10827.7197265625,10738.3603515625,10757.3095703125
2016-10-26,10726.2197265625,10737.7900390625,10632.2900390625,10709.6796875
2016-10-27,10691.8603515625,10772.669921875,10656.1796875,10717.080078125
2016-10-28,10634.990234375,10716.16015625,10583.5703125,10696.1904296875
2016-10-31,10658.669921875,10687.740234375,10634.33984375,10665.009765625
2016-11-01,10724.1396484375,10730.48046875,10506.3896484375,10526.16015625
2016-11-02,10443.51953125,10460.9296875,10368.2001953125,10370.9296875
2016-11-03,10341.8603515625,10406.7197265625,10325.8798828125,10325.8798828125
2016-11-04,10281.8701171875,10286.3896484375,10212.5302734375,10259.1298828125
2016-11-07,10410.5595703125,10456.9501953125,10381.1396484375,10456.9501953125
2016-11-08,10449.51953125,10486.0400390625,10414.830078125,10482.3203125
2016-11-09,10181.8896484375,10646.5498046875,10174.919921875,10646.009765625
2016-11-10,10710.0400390625,10793.9697265625,10575.9599609375,10630.1201171875
2016-11-11,10702.8798828125,10714.4697265625,10584.3095703125,10667.9501953125
2016-11-14,10750.6201171875,10802.3896484375,10677.08984375,10693.6904296875
2016-11-15,10720.9296875,10748.3095703125,10666.169921875,10735.1396484375
2016-11-16,10726.33984375,10735.4697265625,10610.26953125,10663.8701171875
2016-11-17,10640.3603515625,10686.8798828125,10604.3203125,10685.5400390625
2016-11-18,10735.0498046875,10737.98046875,10649.1201171875,10664.5595703125
2016-11-21,10697.9501953125,10727.08984375,10595.1396484375,10685.1298828125
2016-11-22,10745.669921875,10767.73046875,10707.8701171875,10713.849609375
2016-11-23,10718.8896484375,10742.66015625,10602.2099609375,10662.4404296875
2016-11-24,10689.16015625,10715.650390625,10653.6201171875,10689.259765625
