time_close,type,volume,price_open,price_close,sl,tp,profit,swap,commission,comment
2025.10.01 20:02,SELL_close,0.50,1.17,1.17,1.17,1.17,-57.50,0.00,0.00,sl 1.17267
2025.10.02 18:14,SELL_close,0.50,1.17,1.17,1.17,1.17,71.50,0.00,0.00,tp 1.17009
2025.10.08 00:26,SELL_close,0.50,1.17,1.17,1.17,1.16,-42.00,-0.50,0.00,sl 1.16602
2025.10.09 18:07,SELL_close,0.50,1.16,1.16,1.16,1.16,148.00,0.00,0.00,tp 1.15663
2025.10.30 14:28,SELL_close,0.50,1.16,1.16,1.16,1.16,50.00,0.00,0.00,tp 1.15807
2025.10.30 14:59,SELL_close,0.50,1.16,1.16,1.16,1.16,102.50,0.00,0.00,tp 1.15547
2025.11.03 10:53,SELL_close,0.50,1.15,1.15,1.16,1.15,175.00,-0.50,0.00,tp 1.15102
2025.11.05 16:16,SELL_close,0.50,1.15,1.15,1.15,1.15,-43.50,0.00,0.00,sl 1.14799
2025.11.07 16:03,BUY_close,0.50,1.16,1.16,1.15,1.16,80.50,0.00,0.00,tp 1.15704
2025.11.21 14:30,SELL_close,0.50,1.15,1.15,1.15,1.15,-79.00,0.00,0.00,sl 1.15148
2025.12.03 09:01,BUY_close,0.50,1.16,1.16,1.16,1.16,130.00,-0.35,0.00,tp 1.16485
2025.12.08 19:50,SELL_close,0.50,1.16,1.16,1.16,1.16,-46.00,0.00,0.00,sl 1.16348
2025.12.09 17:24,SELL_close,0.50,1.16,1.16,1.16,1.16,-87.00,0.00,0.00,sl 1.16323
2025.12.16 15:31,BUY_close,0.50,1.18,1.18,1.18,1.18,92.50,0.00,0.00,tp 1.17881
2025.12.26 16:43,BUY_close,0.50,1.18,1.18,1.18,1.18,-39.00,0.00,0.00,sl 1.17864
2026.01.06 15:12,SELL_close,0.50,1.17,1.17,1.17,1.17,-50.00,0.00,0.00,sl 1.17088
2026.01.06 17:25,SELL_close,0.50,1.17,1.17,1.17,1.17,9.50,0.00,0.00,tp 1.16886
2026.01.16 18:09,SELL_close,0.50,1.16,1.16,1.16,1.16,-60.50,0.00,0.00,sl 1.16015
2026.01.22 15:13,BUY_close,0.50,1.17,1.17,1.17,1.17,39.50,0.00,0.00,tp 1.17104
2026.01.22 15:30,BUY_close,0.50,1.17,1.17,1.17,1.17,-52.50,0.00,0.00,sl 1.17069
2026.01.27 16:35,BUY_close,0.50,1.19,1.19,1.19,1.19,199.00,0.00,0.00,tp 1.19492
2026.02.04 19:13,SELL_close,0.50,1.18,1.18,1.18,1.18,-62.00,0.00,0.00,sl 1.18111
2026.02.16 14:55,SELL_close,0.50,1.19,1.19,1.19,1.19,15.50,0.00,0.00,tp 1.18501
2026.02.16 21:57,SELL_close,0.50,1.18,1.19,1.19,1.18,-36.00,0.00,0.00,sl 1.18538
2026.02.18 16:21,SELL_close,0.50,1.18,1.18,1.18,1.18,28.50,0.00,0.00,tp 1.18174
2026.02.18 17:02,SELL_close,0.50,1.18,1.18,1.18,1.18,-44.50,0.00,0.00,sl 1.18219
2026.02.19 15:06,SELL_close,0.50,1.18,1.18,1.18,1.18,96.00,0.00,0.00,tp 1.17574
2026.02.23 15:14,SELL_close,0.50,1.18,1.18,1.18,1.18,-52.00,0.00,0.00,sl 1.17851
2026.02.26 17:39,SELL_close,0.50,1.18,1.18,1.18,1.18,-39.50,0.00,0.00,sl 1.17931
2026.03.06 15:30,SELL_close,0.50,1.16,1.16,1.16,1.15,-63.00,0.00,0.00,sl 1.15704
