deal,profit
3,-63.00
5,-85.14
7,-62.62
9,-1.13
11,196.02
13,-95.13
15,-79.56
17,397.93
19,-95.31
21,-155.77
23,503.28
25,419.71
27,-234.81
29,661.09
31,-104.22
33,436.25
35,378.63
37,0.00
39,-110.52
41,440.46
43,503.91
45,472.99
47,515.25
49,-0.77
51,-150.66
53,415.71
55,-99.63
57,304.87
59,226.26
61,266.13
63,-111.24
65,-125.46
67,292.63
69,-110.61
71,-124.38
73,-0.45
75,391.86
77,-128.25
79,-16.34
81,-0.27
83,-1.44
85,306.00
87,-167.13
89,-144.72
91,-126.00
93,-1.08
95,-125.28
97,-21.36
99,313.74
101,-3.78
103,-47.52
105,-75.51
107,247.86
109,-84.24
111,-65.34
113,-67.23
115,-80.37
117,-155.43
119,-71.55
121,-3.02
123,-157.82
125,-0.81
127,-0.72
129,471.01
131,-1.08
133,-0.90
135,-99.99
137,-88.56
139,-149.45
141,-103.68
143,-0.36
145,-122.85
147,-165.54
149,457.69
151,-2.12
153,382.59
155,391.99
157,-196.07
159,-155.97
161,-127.35
163,-175.14
165,329.58
167,-81.54
169,469.39
171,-179.19
173,474.03
175,-0.45
177,-121.86
179,-126.18
181,-292.41
183,1218.98
185,2150.55
187,2505.87
189,-206.10
191,-175.95
193,603.09
195,-282.06
197,-3.38
199,-202.68
201,-0.18
203,-363.67
205,-199.98
207,-221.76
209,-129.06
211,-163.80
213,474.12
215,-101.43
217,-100.33
219,-238.05
221,1016.86
223,552.33
225,-179.46
227,-191.07
229,-96.12
231,-95.94
233,-150.84
235,-296.91
237,1155.19
239,-183.69
241,-169.11
243,-1.85
245,-372.02
247,-3.69
249,-183.15
251,525.69
253,-82.89
255,374.31
