time_ms,rate
1577836800000,0.0001
1577865600000,7.354e-05
1577894400000,-0.00016125
1577923200002,5.047e-05
1577952000000,0.0001
1577980800000,0.0001
1578009600000,0.0001
1578038400000,0.0001
1578067200001,0.0001
1578096000000,0.0001
1578124800000,0.0001
1578153600000,0.0001
1578182400000,0.0001
1578211200000,0.0001
1578240000000,0.0001
1578268800000,0.0001
1578297600000,0.0001
1578326400000,0.0001
1578355200000,0.0001
1578384000001,0.0001
1578412800000,0.0001
1578441600000,0.0001
1578470400000,0.0001
1578499200001,0.0001
1578528000000,0.0001
1578556800000,0.0001
1578585600000,0.0001
1578614400000,0.0001
1578643200000,0.0001
1578672000000,0.0001
1578700800000,0.0001
1578729600000,0.0001
1578758400000,0.0001
1578787200000,0.0001
1578816000000,0.0001
1578844800000,0.0001
1578873600001,0.0001
1578902400000,0.0001
1578931200000,0.0001
1578960000000,0.0001
1578988800000,0.0001
1579017600001,0.0001
1579046400000,0.00011544
1579075200000,0.00020223
1579104000000,0.00031864
1579132800000,0.00017165
1579161600000,0.00038406
1579190400000,0.0004224
1579219200000,0.00018772
1579248000000,0.0001
1579276800000,0.00020327
1579305600001,0.0001
1579334400001,0.0001
1579363200000,0.00011014
1579392000000,0.00044662
1579420800000,0.00019851
1579449600000,0.00023852
1579478400000,0.00047503
1579507200000,0.00054081
1579536000000,0.00038562
1579564800000,0.00021637
1579593600000,0.00016823
1579622400000,0.00018627
1579651200000,0.0001535
1579680000001,0.0001
1579708800000,0.0001
1579737600000,0.0001
1579766400000,0.0001
1579795200000,0.00021994
1579824000000,0.00017114
1579852800000,0.00017748
1579881600001,0.00025923
1579910400000,0.0001
1579939200000,0.0001
1579968000001,0.00027793
1579996800000,0.00031959
1580025600000,0.00026387
1580054400000,0.0001
1580083200000,0.0001
1580112000001,0.0001
1580140800000,0.0001
1580169600000,0.00010167
1580198400000,0.00049212
1580227200000,0.00091788
1580256000001,0.00122251
1580284800000,0.0010613
1580313600002,0.00055576
1580342400000,0.00054882
1580371200000,0.00049058
1580400000000,0.00054951
1580428800000,0.00082589
1580457600000,0.00132017
1580486400000,0.00093741
1580515200000,0.0007201
1580544000000,0.00070775
1580572800000,0.00052861
1580601600000,0.000352
1580630400000,0.00016128
1580659200000,0.0001
1580688000000,0.0001
1580716800000,0.0001
1580745600000,0.0001
1580774400000,0.00036575
1580803200001,0.00014722
1580832000000,0.00039381
1580860800002,0.0001
1580889600000,0.0001
1580918400000,0.00095515
1580947200000,0.00112654
1580976000000,0.00077325
1581004800000,0.00053238
1581033600000,0.00032775
1581062400000,0.00014913
1581091200001,0.00045718
1581120000000,0.00026524
1581148800000,0.00027312
1581177600000,0.00029946
1581206400000,0.00097062
1581235200000,0.00063224
1581264000000,0.00136228
1581292800000,0.00130685
1581321600000,0.00193444
1581350400009,0.00295694
1581379200000,0.0011812
1581408000000,0.00150902
1581436800000,0.00107512
1581465600000,0.0028447
1581494400001,0.0036719
1581523200000,0.00148984
1581552000001,0.00119193
1581580800000,0.00141789
1581609600000,0.0017895
1581638400000,0.00133922
1581667200000,0.00081527
1581696000000,0.00097804
1581724800000,0.00084363
1581753600000,0.00099519
1581782400000,0.00116429
1581811200000,0.00191229
1581840000000,0.00042143
1581868800000,0.00063291
1581897600000,0.0006537
1581926400000,0.00052153
1581955200000,0.00088411
1581984000000,0.00024205
1582012800000,0.00012422
1582041600000,0.00023619
1582070400000,0.0007174
1582099200001,0.00095567
1582128000000,0.00068394
1582156800004,0.0001949
1582185600000,0.0001
1582214400000,0.00053851
1582243200000,0.00069899
1582272000000,0.0005353
1582300800000,0.0005742
1582329600000,0.00051605
1582358400001,0.00056424
1582387200000,0.00045883
1582416000000,0.00077311
1582444800000,0.00043317
1582473600000,0.00048157
1582502400015,0.00054128
1582531200000,0.00037142
1582560000000,0.00020954
1582588800001,0.00031422
1582617600000,0.00040545
1582646400001,0.00052084
1582675200000,0.00047129
1582704000001,0.00079802
1582732800000,0.00071497
1582761600001,0.0001
1582790400001,0.00025833
1582819200000,0.00010335
1582848000000,0.00012465
1582876800000,0.00025289
1582905600000,0.00030522
1582934400000,0.00040998
1582963200000,0.00055451
1582992000000,0.00047771
1583020800000,0.00032216
1583049600000,0.00018986
1583078400001,0.00015628
1583107200000,0.00014747
1583136000000,0.00015638
1583164800004,0.0001
1583193600000,0.0001
1583222400003,0.0001
1583251200000,0.00031403
1583280000002,0.00030731
1583308800000,0.00030432
1583337600001,0.00032821
1583366400000,0.00029022
1583395200000,0.00039893
1583424000000,0.00036018
1583452800003,0.0003738
1583481600000,0.0001
1583510400000,0.0001
1583539200000,0.0001
1583568000001,0.0001
1583596800000,0.00013739
1583625600001,0.00032347
1583654400000,0.0004582
1583683200006,0.00037933
1583712000000,0.0001
1583740800000,0.00011432
1583769600000,0.00016188
1583798400000,0.00025018
1583827200000,0.0001
1583856000000,0.00025409
1583884800001,0.0001
1583913600000,0.00016304
1583942400000,0.00037247
1583971200001,0.00036391
1584000000001,0.00054526
1584028800000,0.0001
1584057600000,0.0001
1584086400000,-0.00281778
1584115200002,-0.00027991
1584144000000,0.0001
1584172800001,0.0001
1584201600000,0.0001
1584230400000,0.0001
1584259200000,0.0001
1584288000001,0.0001
1584316800000,0.0001
1584345600000,0.0001
1584374400001,-0.00022932
1584403200000,0.0001
1584432000000,0.0001
1584460800000,0.0001
1584489600000,0.0001
1584518400000,0.0001
1584547200000,0.0001
1584576000000,0.0001
1584604800000,0.0001
1584633600000,0.0001
1584662400000,0.0001
1584691200000,0.0001
1584720000000,0.0001
1584748800000,0.0001
1584777600000,0.0001
1584806400000,0.0001
