profit
-53.46
-0.54
-67.50
-28.98
-8.60
-87.93
-38.97
-1.53
52.15
-0.41
-34.56
-33.48
111.37
-26.19
-36.27
-55.26
-40.32
131.22
-26.82
-23.40
-36.45
-101.07
-0.09
329.31
115.38
-52.65
-74.61
157.68
-82.71
-44.37
-48.33
-0.09
-49.59
150.66
164.16
-32.94
303.57
121.50
-63.00
-1.13
196.02
-79.56
288.36
503.28
-234.81
-11.97
-104.22
479.34
0.00
-110.52
440.46
472.99
-150.66
304.87
226.26
-111.24
292.63
-0.45
391.86
-16.34
-0.27
-1.44
306.00
-167.13
-144.72
-1.08
-125.28
-47.79
313.74
-3.78
-47.52
-75.51
247.86
-84.24
-65.34
-67.23
-80.37
-155.43
-3.02
-157.82
-0.72
471.01
-99.99
-149.45
-103.68
-0.36
-122.85
457.69
382.59
-196.07
329.58
-81.54
469.39
474.03
-0.45
-121.86
-126.18
1194.75
1392.15
-206.10
603.09
-282.06
-3.38
-202.68
-363.67
-199.98
-129.06
-101.43
-100.33
-238.05
1016.86
-179.46
-96.12
-95.94
-296.91
1155.19
-183.69
-372.02
-3.69
-183.15
-82.89
374.31
-429.21
370.89
312.93
-300.69
-560.28
-288.45
-366.03
360.27
-243.99
-0.54
-126.14
203.85
-107.46
593.23
-68.85
-181.98
-0.63
-51.35
205.02
-48.15
-0.36
-122.47
572.98
-114.12
-65.88
503.93
-1.44
-110.25
-129.69
521.05
-0.36
-189.86
-67.86
-0.45
-280.94
-73.44
-135.45
-1.35
-79.65
-102.87
209.97
-125.82
-125.91
-1.35
-148.30
-2.25
-201.15
401.94
-214.20
297.81
-2.16
-123.30
-127.26
362.97
-1.44
417.82
-254.66
-110.97
-171.27
-1.80
362.16
-127.98
322.29
-91.80
-122.58
-134.73
-66.15
156.73
-91.44
-147.60
-0.54
-0.36
-85.41
-66.78
-91.35
-43.92
-1.71
-131.90
-122.13
-3.24
-122.04
