close_time,type,volume,price,sl,tp,profit,swap,commission,comment
2025.08.05 15:36,BUY_close,0.25,3364.64,3351.04,3364.62,258.25,0.00,0.00,tp 3364.62
2025.08.06 17:56,SELL_close,0.28,3378.81,3378.81,3281.59,-84.84,0.00,0.00,sl 3378.81
2025.08.07 09:42,BUY_close,0.15,3385.39,3362.98,3385.37,252.75,-5.67,0.00,tp 3385.37
2025.08.18 02:12,BUY_close,0.07,3331.54,3332.12,3408.84,-79.94,-0.88,0.00,sl 3332.12
2025.08.18 02:12,BUY_close,0.07,3331.54,3332.22,3408.84,-79.94,-0.88,0.00,sl 3332.22
2025.08.18 16:39,BUY_close,0.20,3337.89,3337.99,3408.84,-85.60,0.00,0.00,sl 3337.99
2025.08.26 02:12,BUY_close,0.27,3360.79,3360.85,3378.79,-83.97,-3.40,0.00,sl 3360.85
2025.08.26 16:31,SELL_close,0.21,3375.85,3375.81,3311.55,-82.53,0.00,0.00,sl 3375.81
2025.08.26 17:24,SELL_close,0.21,3376.08,3375.89,3311.55,-86.52,0.00,0.00,sl 3375.89
2025.09.05 15:30,SELL_close,0.15,3560.23,3556.78,3384.60,-135.00,0.00,0.00,sl 3556.78
2025.09.11 15:30,BUY_close,0.16,3617.12,3618.67,3674.12,-109.44,0.00,0.00,sl 3618.67
2025.09.11 16:37,BUY_close,0.04,3618.58,3618.64,3674.12,-81.48,0.00,0.00,sl 3618.64
2025.09.12 16:33,SELL_close,0.22,3651.27,3650.86,3437.12,-90.42,0.00,0.00,sl 3650.86
2025.09.15 04:00,BUY_close,0.05,3631.50,3631.50,3674.12,-71.35,-0.63,0.00,sl 3631.50
2025.09.19 17:54,SELL_close,0.16,3668.40,3668.28,3613.51,-85.44,-0.74,0.00,sl 3668.28
2025.09.24 17:08,BUY_close,0.13,3757.17,3757.63,3791.18,-86.84,0.00,0.00,sl 3757.63
2025.09.26 15:31,SELL_close,0.11,3756.06,3755.92,3632.16,-81.62,0.00,0.00,sl 3755.92
2025.09.29 05:20,BUY_close,0.02,3791.33,3715.56,3791.18,77.22,-0.50,0.00,tp 3791.18
2025.09.29 05:20,BUY_close,0.02,3791.33,3715.54,3791.18,77.22,-0.50,0.00,tp 3791.18
2025.09.29 05:20,BUY_close,0.04,3791.33,3731.58,3791.18,159.72,-0.50,0.00,tp 3791.18
2025.10.07 15:57,SELL_close,0.09,3979.87,3979.80,3793.21,-85.50,0.00,0.00,sl 3979.80
2025.10.28 08:41,SELL_close,0.03,3944.67,4148.93,3944.81,546.33,-0.28,0.00,tp 3944.81
2025.10.31 00:50,SELL_close,0.03,4028.71,4028.64,3886.62,-71.49,-0.14,0.00,sl 4028.64
2025.10.31 00:50,SELL_close,0.03,4029.34,4029.22,3886.62,-73.38,-0.14,0.00,sl 4029.22
2025.10.31 18:10,BUY_close,0.02,3995.99,3996.07,4161.26,-62.42,0.00,0.00,sl 3996.07
2025.10.31 18:10,BUY_close,0.02,3995.51,3995.71,4161.26,-63.38,0.00,0.00,sl 3995.71
2025.11.10 03:23,BUY_close,0.02,4046.54,3963.01,4046.34,100.70,-0.25,0.00,tp 4046.34
2025.11.10 03:23,BUY_close,0.02,4046.54,3962.90,4046.34,100.70,-0.25,0.00,tp 4046.34
2025.11.18 18:18,SELL_close,0.14,4059.98,4059.96,4032.39,-84.84,0.00,0.00,sl 4059.96
2025.11.19 07:36,SELL_close,0.04,4097.44,4097.40,3984.32,-78.84,-0.36,0.00,sl 4097.40
2025.11.19 07:36,SELL_close,0.04,4097.68,4097.60,3984.32,-79.80,-0.36,0.00,sl 4097.60
