time_close,type,volume,price_open,price_close,sl,tp,profit,swap,commission,comment
2025.10.02 15:06,BUY_close,0.02,3882.99,3889.37,3871.51,3889.37,12.76,0.00,0.00,tp 3889.37
2025.10.02 16:37,BUY_close,0.02,3894.17,3886.09,3886.09,3910.32,-16.16,0.00,0.00,sl 3886.09
2025.10.03 16:42,BUY_close,0.02,3882.77,3887.13,3866.16,3887.13,8.72,0.00,0.00,tp 3887.13
2025.10.03 19:19,BUY_close,0.02,3889.77,3882.54,3882.54,3904.22,-14.46,0.00,0.00,sl 3882.54
2025.10.20 15:19,BUY_close,0.02,4282.20,4289.51,4250.24,4289.51,14.62,0.00,0.00,tp 4289.51
2025.10.21 11:03,BUY_close,0.02,4320.29,4280.52,4280.52,4399.82,-79.54,-0.25,0.00,sl 4280.52
2025.10.31 18:56,SELL_close,0.02,3983.85,3980.15,3997.17,3980.15,7.40,0.00,0.00,tp 3980.15
2025.11.13 06:07,BUY_close,0.02,4166.48,4219.07,4140.18,4219.07,105.18,-0.76,0.00,tp 4219.07
2025.11.18 15:37,SELL_close,0.02,4023.17,4066.09,4066.09,3937.33,-85.84,-0.09,0.00,sl 4066.09
2025.11.24 18:33,BUY_close,0.02,4093.94,4095.99,4074.28,4095.99,4.10,0.00,0.00,tp 4095.99
2025.11.26 04:25,BUY_close,0.02,4112.50,4159.74,4088.88,4159.74,94.48,-0.50,0.00,tp 4159.74
2025.12.03 16:08,BUY_close,0.02,4237.13,4222.26,4222.26,4266.86,-29.74,0.00,0.00,sl 4222.26
2025.12.09 11:07,SELL_close,0.02,4176.64,4204.34,4204.34,4121.24,-55.40,-0.09,0.00,sl 4204.34
2025.12.11 05:10,BUY_close,0.02,4236.53,4212.14,4212.14,4285.31,-48.78,-0.76,0.00,sl 4212.14
2025.12.16 16:34,BUY_close,0.02,4324.59,4331.81,4317.85,4331.81,14.44,0.00,0.00,tp 4331.81
2025.12.18 19:09,BUY_close,0.02,4369.62,4338.32,4338.32,4432.22,-62.60,0.00,0.00,sl 4338.32
2026.01.09 03:08,BUY_close,0.02,4470.01,4453.02,4453.02,4503.99,-33.98,-0.25,0.00,sl 4453.02
2026.01.09 16:36,BUY_close,0.02,4481.42,4497.47,4473.40,4497.47,32.10,0.00,0.00,tp 4497.47
2026.01.13 16:21,BUY_close,0.02,4618.96,4619.14,4606.94,4619.14,0.36,0.00,0.00,tp 4619.14
2026.01.13 16:45,BUY_close,0.02,4624.81,4626.90,4614.41,4626.90,4.18,0.00,0.00,tp 4626.90
2026.01.22 19:54,BUY_close,0.02,4863.90,4905.15,4843.27,4905.15,82.50,0.00,0.00,tp 4905.15
2026.01.28 07:07,BUY_close,0.02,5142.37,5252.53,5087.29,5252.53,220.32,-0.25,0.00,tp 5252.53
2026.02.20 17:01,SELL_close,0.02,4894.51,5061.97,5061.97,4559.60,-334.92,-0.73,0.00,sl 5061.97
2026.03.06 03:50,SELL_close,0.02,5094.13,5131.33,5131.33,5019.72,-74.40,-0.09,0.00,sl 5131.33
2026.03.18 14:01,SELL_close,0.02,4969.84,4924.56,4992.48,4924.56,90.56,0.00,0.00,tp 4924.56
2026.03.20 16:15,SELL_close,0.02,4608.06,4581.45,4646.90,4581.45,53.22,0.00,0.00,tp 4581.45
2026.03.20 18:17,SELL_close,0.02,4557.43,4592.99,4592.99,4527.22,-71.12,0.00,0.00,sl 4592.99
2026.04.09 16:36,BUY_close,0.02,4739.32,4765.53,4726.50,4765.53,52.42,0.00,0.00,tp 4765.53
2026.04.10 03:01,BUY_close,0.02,4778.22,4754.76,4754.76,4825.15,-46.92,-0.25,0.00,sl 4754.76
2026.04.10 17:49,BUY_close,0.02,4790.65,4772.86,4772.86,4798.31,-35.58,0.00,0.00,sl 4772.86
2026.04.17 16:07,BUY_close,0.02,4821.78,4857.52,4803.91,4857.52,71.48,0.00,0.00,tp 4857.52
2026.04.28 14:34,SELL_close,0.02,4670.29,4590.41,4710.23,4590.41,159.76,-0.09,0.00,tp 4590.41
2026.04.30 03:46,SELL_close,0.02,4544.91,4571.25,4571.25,4492.23,-52.68,-0.28,0.00,sl 4571.25
2026.05.06 02:49,SELL_close,0.02,4543.12,4593.75,4593.75,4441.86,-101.26,-0.18,0.00,sl 4593.75
2026.05.08 17:30,BUY_close,0.02,4739.87,4715.30,4715.30,4761.92,-49.14,0.00,0.00,sl 4715.30
2026.05.11 16:30,BUY_close,0.02,4728.12,4734.04,4698.87,4734.04,11.84,0.00,0.00,tp 4734.04
2026.05.11 16:45,BUY_close,0.02,4742.89,4745.35,4724.78,4745.35,4.92,0.00,0.00,tp 4745.35
2026.05.15 03:01,SELL_close,0.02,4668.86,4643.49,4681.55,4643.49,50.74,-0.09,0.00,tp 4643.49
2026.05.19 16:30,SELL_close,0.02,4524.29,4490.53,4541.17,4490.53,67.52,0.00,0.00,tp 4490.53
